Author,Organization,Score
tomer-israel,Nvidia,130.60
Xichen96,Microsoft,130.50
yangbashuang,Centec,129.05
geogchen,Microsoft,128.40
joyas-joseph,Dell Technologies,126.50
XuChen-MSFT,Microsoft,125.40
CynthiaINV,Others,124.40
geans-pin,Broadcom,124.40
gitsabari,Broadcom,124.20
klhaung,Others,123.30
guxianghong,Centec,122.90
oleksandrivantsiv,Nvidia,122.60
bluecmd,Others,122.25
abohanyang,Arista,121.20
carl-nokia,Others,120.40
pollyhsu2git,EdgeCore,119.20
rkdevi27,Dell Technologies,118.25
snifbh,Nvidia,117.40
guangyao6,Microsoft,115.80
tylerlinp,Others,115.70
mdanish-kh,xFlow Research,115.20
AntheaJiang,Others,112.95
rawal01,Nokia,112.85
oxygen980,Nokia,111.75
sg893052,Broadcom,110.40
kirankella,Broadcom,109.80
svshah-intel,Intel,109.20
ArthiSivanantham,Dell Technologies,109.10
Sabareesh-Kumar-Anandan,Marvell,109.00
zhiyuan0112,Microsoft,106.80
EdenGri,Nvidia,106.50
jonathantsai-qci,Others,105.00
rupesh-k,Broadcom,104.20
donNewtonIntel,Others,103.80
mmiele,Microsoft,100.00
mihirpat1,Microsoft,99.90
abanu-ms,Others,99.50
assrinivasan,Microsoft,99.50
ngoc-do,Arista,99.50
kamalsahu0001,Others,99.00
nikos-github,Others,98.85
kwangsuk,Dell Technologies,98.50
kishorekunal01,Broadcom,98.40
mannytaheri,Others,97.80
anand-kumar-subramanian,Broadcom,96.10
mkbalani,Others,96.10
kevinwangsk,Nvidia,95.15
ravi861,Others,95.10
mohan-selvaraj,Broadcom,94.90
aputriax,Intel,94.80
ph408077,Broadcom,93.20
olivier-singla,Broadcom,91.35
dereksun01,Others,90.40
jsanghra,Cisco,90.00
MELLANOX-zhichenr,Others,89.00
taras-keryk,Others,88.80
MellanoxBSP,Nvidia,87.90
congh-nvidia,Nvidia,87.30
seanwu-ec,accton,87.25
lerry-lee,Microsoft,85.80
rck-innovium,Marvell,85.50
michaelli10,Broadcom,84.50
lixiaoyuner,Microsoft,84.00
gengankarthik,Dell Technologies,83.10
maggiemsft,Microsoft,81.80
globaltrouble,Others,80.25
AmitKaushik7,Broadcom,80.00
vsenchyshyn,Intel,77.65
ANISH-GOTTAPU,Others,77.25
mykolaxgerasymenko,Intel,77.00
phshaikh,Others,77.00
kktheballer,Microsoft,76.05
minionatwork,Others,75.40
hui-ma,Microsoft,75.20
msiddare,Cisco,75.00
xinyulin,Others,74.70
jerseyang,Others,74.60
d-dashkov,Jabil,74.50
dbarashinvd,Nvidia,73.50
jeffhtgt,Others,72.60
Cosmin-Jinga-MS,Others,72.00
dmytroxIntel,Others,72.00
linalvin,Others,72.00
mikeberesford,Google,71.45
paulmenzel,Max-Planck-Institut,71.15
diaryevil,c ai,70.75
gregshpit,Others,70.60
vcheketx,Intel,70.60
devpatha,Cisco,69.00
vmorokhx,Intel,68.45
iris00522,EdgeCore,67.75
bandaru-viswanath,Broadcom,67.40
ashutosh-agrawal,Intel,66.20
gord1306,EdgeCore,66.20
jiahua-wang,Broadcom,65.60
dipankar-ba,Broadcom,65.40
prabhataravind,Microsoft,65.40
tapashdas,Broadcom,65.00
chiourung,EdgeCore,64.65
kuanyu99,EdgeCore,64.60
wangshengjun,asterfusion,64.30
macikgozwa,Others,64.10
ihorchekh,Nvidia,63.75
jmmikkel,Arista,63.50
microsoft-cla-retired,Others,61.25
rodnymolina,docker,60.80
Hedgehog-Guru,Others,60.75
GarrickHe,Dell Technologies,60.00
wsycqyz,Microsoft,59.70
saravanansv,Arista,59.55
deran1980,Nvidia,58.00
sojindal,Others,58.00
anshuv-mfst,Microsoft,57.80
hans-tseng,Others,57.20
FSSec,Others,56.40
madhava28,Others,56.30
arvbb,Others,55.80
selldinesh,Keysight,55.40
tiejunzhang-ms,Microsoft,54.90
arfeigin,Nvidia,54.60
longhuan-cisco,Cisco,54.50
SidharajU,Others,54.40
romankachur-mlnx,Others,54.00
fengkm,ufispace,53.60
thaj-deen,Dell Technologies,53.25
tarakreddy1984,Others,53.00
zhaozhenhong,Dell,53.00
chrispsommers,Keysight,52.95
wbschwar,Others,52.70
chenkelly,EdgeCore,52.50
caizhenghui-juniper,Juniper,52.05
shubav,Nokia,51.85
stephengao-ragilenetworks,Ragile,51.75
kv-y,Others,51.60
KostiantynYarovyiBf,Others,51.00
zhangyanzhao,Microsoft,49.75
shyam77git,Cisco,49.20
roy-sror,Nvidia,49.15
SubhajitPalKeysight,Keysight,49.00
anilkpan,Broadcom,48.50
ziverlichson,Others,48.20
monipko,Intel,48.15
slutati1536,Nvidia,47.50
sudhanshukumar22,Broadcom,47.00
StanleyCi,Others,46.40
mbalachandar,Broadcom,46.40
david-xk,Others,46.10
SijiJ,Juniper,45.90
zoe-kuan,Others,45.60
j-bos,Cisco,45.20
erohsik,Others,45.00
kerry-meyer,Dell Technologies,45.00
qnos,Others,45.00
loshihyu,aviatrix,44.70
rsunkad,Others,44.60
kaiyu22,ingrasys,44.00
sandycelestica,Others,43.05
UmaMaven,Others,42.90
jhli-cisco,Cisco,42.60
Nakrez,Arista,42.40
NazarTkachuk,Others,42.00
eswaranb,Arista,42.00
tiejunzhang,Microsoft,42.00
yenlu-keith,Cisco,42.00
heidinet2007,Alibaba,41.40
MichelMoriniaux,criteo,41.30
bbinxie,Others,41.10
tiantianlv,Others,40.40
bsun-sudo,Dell Technologies,40.00
lipxu,Microsoft,39.90
vpsubramaniam,Dell Technologies,39.00
chaoskao,EdgeCore,38.90
baxia-lan,Google,38.40
Peter5Lin,pegatron corp,38.20
miheot,Others,37.50
stanepc1,Others,37.30
alvinkaiwei,Others,37.20
BrynXu,Arista,36.80
bacrossland,Others,36.60
chihhan123,Others,36.60
linemma,EdgeCore,36.00
YonatanPitz,Others,35.40
skeesara-nokia,Others,35.10
isgmano,Others,35.00
nkelapur,Broadcom,35.00
rraguraj,Cisco,35.00
shruthi9,Intel,34.80
hasan-brcm,Broadcom,34.70
nathcohe,Cisco,34.25
carycelestica,Others,34.00
haslersn,Others,34.00
Ashish1805,Google,33.80
rathnasabapathyv,Dell Technologies,32.90
shri-khare,Others,32.70
aurghob,Microsoft,32.50
mikelazar,Dell Technologies,31.65
jianjundong,Others,31.50
ohu1,Dell,31.50
SarathBug,Broadcom,31.40
anilkpandey,Broadcom,31.10
dependabot,Others,31.00
arista-nwolfe,Arista,30.60
fastiuk,Nvidia,30.50
shikenghua,EdgeCore,30.40
pyadvichuk,Others,30.30
JohnsonYJLu,Others,30.20
kbabujp,Marvell,30.00
pavannaregundi,Marvell,30.00
pyuvarajan,Others,30.00
developfast,Microsoft,29.90
amaneti,Broadcom,29.90
jainp1979,Broadcom,29.50
jon-nokia,Nokia,29.10
alpeshspatel,Others,28.50
stevenlu99,Broadcom,28.50
ishidawataru,ntt,28.40
AlanYoush,Centec,28.00
sumanbrcm,Broadcom,28.00
weixchen1215,Microsoft,28.00
adyeung,Broadcom,27.80
yangshp1987,JD,27.50
andrii-savka,Others,27.30
cgangx,Microsoft,27.00
jaganbal-a,Cisco,26.70
KrisNey-MSFT,Microsoft,26.00
habeebmohammed, inventec,25.80
chaliu,Microsoft,25.20
vincentchiang-ec,EdgeCore,24.75
gollarharsha,Others,24.65
faraazbrcm,Broadcom,24.40
Megathrone,Microsoft,24.05
VadymYashchenko,Intel,24.00
abhijit-dhar,Others,24.00
oleksandrx-kolomeiets,Intel,24.00
orfar1994,Nvidia,24.00
rvisnu,Microsoft,24.00
songqh2022,Others,24.00
svelamal,Cisco,24.00
DeanKalla,Arista,23.90
karthik-krishnamurthy,Dell Technologies,23.60
banagiri,Marvell,23.10
rakeshdatta,Microsoft,23.10
maheshwari-mayank,Broadcom,23.00
nealtai,Others,23.00
rajneeshaec,Marvell,23.00
tbgowda,Cisco,23.00
donboll,Others,22.70
reshmaintel,Intel,22.60
dawnbeauty,Others,22.40
maduramarathe9,Microsoft,21.90
MuLinForest,EdgeCore,21.50
hadiga,Linkedin,21.20
cel-taylor,Others,21.00
msomasundaran,fungible inc,21.00
jjangmua,Others,20.80
maulik-marvell,Marvell,20.80
allas-nvidia,Others,20.00
cawand,Others,20.00
srikrishnagopu,Others,20.00
mini-nair-dell,Dell Technologies,19.50
yehjunying,EdgeCore,19.50
hzheng5,Alibaba,19.40
mickeyspiegel,Intel,19.30
PJHsieh,EdgeCore,19.00
sacnaik,Cisco,18.75
BasimShalata,Others,18.50
apogedik,Others,18.50
cpchangtw,Others,18.50
jusherma,Cisco,18.50
romanvasylys,Intel,18.30
yurypm,Arista,18.20
ByReaL,Keysight,18.00
cchoate54,Microsoft,18.00
gvlaemyn,Cisco,18.00
hamnarauf,xFlow Research,18.00
jfeng-arista,Arista,18.00
link19430,EdgeCore,18.00
lukasstockner,GenesisCloud,18.00
slogan621,Others,18.00
tadams-msft,Others,18.00
yucgu,Cisco,18.00
NStetskovych-zz,Others,17.90
ben-gale,Broadcom,17.80
kannankvs<kannan_kvs@dell.com>,Others,17.50
johcheun,Others,17.40
kenneth-arista,Arista,17.40
kishanps,Google,17.40
maksympr,Nvidia,17.10
vincent201881,Others,16.80
MaxYaremchuk,Others,16.50
sholeksandr,Others,16.40
iMasaruOki,Internet Initiative Japan,16.25
InventecJamesHuang,Others,16.20
JohnFanDNI,Others,16.20
crzas,EdgeCore,16.00
martin-belanger,Dell Technologies,16.00
simone-dell,Dell Technologies,16.00
prafull-brcm,Others,15.70
mpiechocinski,Intel,15.50
li-pingmao,Linkedin,15.40
KrisNey-MSFT<krisney@microsoft.com>,Others,15.00
Michael Miele<v-mimiele@microsoft.com>,Others,15.00
RichardWu-Hebut,Tencent,15.00
SanjayTh,Others,15.00
Shuotian Cheng<shuche@microsoft.com>,Others,15.00
andriydnvd,Others,15.00
andriyz-nv,Nvidia,15.00
bhaveshdell,Dell Technologies,15.00
budgrise,Others,15.00
joej164,Others,15.00
mhanif,Broadcom,15.00
nirmalya-keysight,Keysight,15.00
orenreiss,Nvidia,15.00
ramachandrareddygaddam,Broadcom,15.00
schobtr,Celestica,15.00
hpersh,Others,14.80
atitjain,Others,14.70
leoli-nps,Others,14.55
antoninamelnyk,Intel,14.50
OlaOliynyk,Others,14.20
MaratGubaiev,Jabil,14.00
guillaumelambert,Orange,13.50
lizhuhuams,Microsoft,13.50
mdivyamohan,Others,13.50
smahara,Dell Technologies,13.50
gpaussabrcm,Broadcom,13.15
jasmeetbagga,Others,13.00
jemifdo,Others,13.00
kartik-arista,Arista,13.00
dan-arsenault,Broadcom,12.80
1002574903,Ragile,12.60
DawoodMehmood,xFlow Research,12.60
Minkang-Tsai,EdgeCore,12.60
Kebo Liu<kebol@mellanox.com>,Others,12.50
aganguly-keysight,Others,12.50
fredyu190011,Others,12.50
sandeep-kulambi,Broadcom,12.50
shihhsien-wang,EdgeCore,12.50
SuvenduMozumdar,Keysight,12.40
delta46101,Others,12.40
vishnushetty,Broadcom,12.40
jangidrk,Broadcom,12.30
CharlieChenEC,EdgeCore,12.25
dev-aviz,Others,12.20
snider-nokia,Others,12.10
AfraMariyam,Others,12.00
ArthiGovindaraj,Others,12.00
FunForNOS,Others,12.00
JaredLius,Others,12.00
JiangboHe,Others,12.00
LimorAmit,Others,12.00
William-zx,Others,12.00
bill-nokia,Others,12.00
cytsao1,Cisco,12.00
daniele-moro,Google,12.00
daxia16,Nvidia,12.00
deepak-singhal0408,Microsoft,12.00
echuawu,Nvidia,12.00
fyx,Others,12.00
harshitgulati18,Others,12.00
lihuay,Microsoft,12.00
lorchid,asterfusion,12.00
manjuv1,Others,12.00
mkovnir,Nvidia,12.00
prasanna-cls,Others,12.00
rskorka,Others,12.00
shilimkarvg,Others,12.00
suresh-rupanagudi,Broadcom,12.00
vsrivastav78,Others,12.00
richard28530,Others,11.95
sachinv-msft,Microsoft,11.65
ragu-raman,Others,11.40
abhiranjeet,Others,11.25
staneshieh,Others,11.20
mad4321,Others,11.00
sdddean,Others,11.00
vivekmoorthy,Google,11.00
xjasonlyu,Others,11.00
myronsosyak,Others,10.60
Arvind-Brcm,Broadcom,10.50
amulyan7,Cisco,10.50
jeromesun14,Tencent,10.50
nazeerhussainf,Others,10.50
stephengzh,Ruijie,10.25
abhishekd0,Broadcom,10.00
cytsai0409,ufispace,10.00
dr412113,Others,10.00
harish-kalyanaraman,Nokia,10.00
ryan44guo,inspur,10.00
steven-guo-ec,Others,10.00
zhanggongc,Others,10.00
jeff-yin,Dell Technologies,9.50
Stephenxf,Linkedin,9.35
rbpittman,Cisco,9.30
sanjair-git,Others,9.30
AharonMalkin,Nvidia,9.00
ajbalogh,Keysight,9.00
andriidovhan,Others,9.00
davidm-arista,Arista,9.00
jihaix,Baidu,9.00
ouxlwhu,asterfusion,9.00
prprakas,Linkedin,9.00
twtseng-tim,Others,8.90
irene-pan1202,Others,8.85
rameshsanth,Others,8.85
nazarii-gnydyn,Marvell,8.50
ITJamie,Others,8.10
BaluAlluru,Others,8.00
RayWang910012,EdgeCore,8.00
ashishb-juniper,Juniper,8.00
balajib-cisco,Cisco,8.00
chenpiaoping,Others,8.00
chenyq2,x networks,8.00
henzelis,Others,8.00
hpersh-dell,Dell Technologies,8.00
liron-ze,Baidu,8.00
nirenjan,Dell Technologies,8.00
okanchou9,ingrasys,8.00
thomas-am,Keysight,8.00
liuqu,Alibaba,7.90
SumitAgarwal123,Broadcom,7.50
anilsadineni,Broadcom,7.50
aseaudi,Others,7.50
collivier,Orange,7.50
dellwuchuan,Nvidia,7.50
dsetia-bfn,Intel,7.50
hari-selvam,Others,7.50
hehuang-nokia,Nokia,7.50
mslocrian,self,7.50
ntoorchi,Google,7.50
shdasari,Broadcom,7.50
sivamukka,Broadcom,7.50
zhengbiqing,Others,7.50
CLUDev,Others,7.00
Haidong988,Centec,7.00
dennis0113,EdgeCore,7.00
tengfei-astfs,asterfusion,7.00
tushar-ty,Broadcom,6.80
119064273,Others,6.75
Harrison-SH,Others,6.75
amitabhja,Others,6.50
guking3,Others,6.50
prvattem,Dell Technologies,6.30
ncalad,Others,6.25
tjcw,ibm,6.25
sunesh,Intel,6.20
wadelnn,ufispace,6.20
SathishKumarTR-Dell,Dell Technologies,6.10
BrandonCheng0121,EdgeCore,6.00
CliveNi,cloudlight,6.00
Deva-N,Others,6.00
KhoobBabe,xFlow Research,6.00
Liran-Ar,Others,6.00
MaksymPry,Others,6.00
andrewimeson,Others,6.00
arn-alt,Others,6.00
avinish-marvell,Others,6.00
busterswt,arcanebyte,6.00
dmukun,Others,6.00
dpetryshintl,Others,6.00
isabelladeleon12,Microsoft,6.00
kattamamatha,Others,6.00
lornelong,Cisco,6.00
madhupalu,Aviz Networks,6.00
mdak1909,Others,6.00
moshemos,Nvidia,6.00
mthatty,Others,6.00
qiwang4,Cisco,6.00
riverhong,EdgeCore,6.00
roger530-ho,Others,6.00
saikrishnagajula,Others,6.00
sampad1996,Others,6.00
scottlaird,Google,6.00
serhepopovych,Others,6.00
skbhava,Broadcom,6.00
sureshsekar28,Marvell,6.00
talber-nvidia,Others,6.00
utpalkantpintoo,Broadcom,6.00
vadimp-nvidia,Nvidia,6.00
vijayvyasm,Others,6.00
weiliu-ivy,Microsoft,6.00
Ezrickd,Others,5.90
hubblezzhu,Alibaba,5.50
peter-yu,EdgeCore,5.40
fillmorechen0928,Others,5.35
mfriyas,Others,5.30
uraghura,Others,5.25
dipalipatel25,Others,5.20
FMusatescu,Others,5.00
RajeshPukhrajJain,Broadcom,5.00
aystarik,Others,5.00
bhavini-gada,Dell,5.00
bpar9,Cisco,5.00
dkourkouzelis,Others,5.00
dpronin,n/a,5.00
elvistsai,Others,5.00
emilmih,Others,5.00
haowei1122,Others,5.00
hui-ma<huima@microsoft.com>,Others,5.00
joe-tricklebank-owens,Others,5.00
kakkotetsu,Others,5.00
lkunjumon,Others,5.00
yutatsuchiyamicrosoft,Microsoft,5.00
mkeda,Google,4.80
kielfriedt,arm,4.75
tw0byt3,Others,4.50
batmancn,Others,4.40
radha-danda,Marvell,4.40
Anandaraj-Maharajan,Others,4.30
cony7642,Others,4.30
gracelicd,Others,4.30
robert1030,tw,4.30
mipxman,Others,4.25
pjeyarat,Others,4.25
vikneels,Cisco,4.25
aaronpayment,Arista,4.20
deni64k,Others,4.20
Str1ker17,Others,4.20
vmytnykx,Intel,4.20
SinghMinu,Others,4.00
YaoTien,Others,4.00
borys-karpliak,Others,4.00
dinosn,Others,4.00
dlringor,Others,4.00
dushyantarora,Google,4.00
garigipati31,Others,4.00
hanstseng,Others,4.00
icchau,Others,4.00
jackyjs,Others,4.00
liatgrozovik,Nvidia,4.00
liujed-intel,Intel,4.00
okuzovych,plvision,4.00
rdarbha,Others,4.00
shawnli-van,Others,4.00
shawnxli,Others,4.00
vkuma82,Others,4.00
imzyxwvu,Others,3.90
tieguoevan,Alibaba,3.80
TyagiShailesh,Others,3.75
huanlev,Cisco,3.75
mbze430,Others,3.75
shall1024,Others,3.75
wjaco,Cisco,3.75
rajendrat,Cisco,3.60
StephenWangGoogle,Google,3.50
pcamaril,Others,3.50
skg-net,Dell Technologies,3.40
arpp93,Cisco,3.30
ChinaMobileNG,Teraspek,3.25
ljyfree,Centec,3.20
xinliu-seattle,Microsoft,3.05
Rancho333,Others,3.00
ansrajpu-git,Others,3.00
aslam-man,Others,3.00
aussieserverhosts,aussie server hosts,3.00
chiranjeevi-07,Others,3.00
cijurajan,Others,3.00
copyandrun,Others,3.00
dmjohn-marvell,Marvell,3.00
ezio-chen,EdgeCore,3.00
ixodie,Others,3.00
jpxjlrldgit,Broadcom,3.00
kant,Others,3.00
lokeshmarvell,Marvell,3.00
lyndonsiao,Others,3.00
mgheorghe,Keysight,3.00
nmoray-ebay,eBay,3.00
oleksandrKovtunenko,Jabil,3.00
phanindra-tv,Broadcom,3.00
randygaulmsft,Others,3.00
samuel-lee-msft,Microsoft,3.00
siddegowda1,Others,3.00
txj36,Others,3.00
veber-alex,Others,3.00
victorhooi,Google,3.00
yanjundeng,Cisco,3.00
zhuiwang,Others,3.00
mhampasagar,Dell Technologies,2.80
superchild,EdgeCore,2.75
lisahnguyen,Broadcom,2.70
SAI-shared-user,Others,2.65
Abdul-Raheem10,Broadcom,2.50
Quanta-Switch,Others,2.50
Rajpratik71,Others,2.50
TETA-Net,teta-co.ir,2.50
TzvikNVDA,Others,2.50
aledwmorris,Others,2.50
charlag,Tutao,2.50
dduttman,Others,2.50
dks19,Broadcom,2.50
henry-ma,Nvidia,2.50
jeffchen1988,Others,2.50
shishao7sxm,Alibaba,2.50
skraza,Cisco,2.50
zebracrowd,Others,2.50
jarias-lfx,the linux foundation,2.40
JafarSeyedi,Others,2.35
rpjain-nw,Others,2.30
Russell123987,Others,2.25
bahirul,Others,2.25
chaichairiko,Others,2.25
muhammad51,Others,2.25
avi-milner,Marvell,2.10
paulnice,Others,2.10
HolyShitMan,tu ilmenau,2.00
MaxPolovyi,Others,2.00
OPetryshyn,Others,2.00
SolankiTrignesh,Others,2.00
ching-kuo,mirantis,2.00
davidfordouce,Others,2.00
denis-maslov,globallogic,2.00
dsatterw,Others,2.00
duhbbx,Others,2.00
eiendragon,Others,2.00
ivlee1,Microsoft,2.00
justin-oliver,Broadcom,2.00
leeprecy,Broadcom,2.00
manish-volansys,Others,2.00
rick-yhchen1013,wt microelectronics,2.00
samitabh,Broadcom,2.00
tientienle,Others,2.00
trignesh,Others,2.00
vivekvijaykumar,Others,2.00
willieken559099,Others,2.00
xiaodaoaa,Others,2.00
zubinshah,Others,2.00
albgonzpri,Microsoft,1.90
skytreat,Microsoft,1.90
DhinakaranDayalan,Others,1.80
TencentSwitchGroup,Tencent,1.80
arkadiyshapiro,VMware,1.80
Battier,Others,1.80
bmridul,Cisco,1.80
losha228,Microsoft,1.80
tomek-US,Google,1.80
wangzhClounix,Others,1.80
amar304,Others,1.75
v-wfarris,Others,1.75
msreddypaluru,Others,1.60
AStrangwood,Others,1.50
GAcharyaIndia,Others,1.50
JSpewock,Others,1.50
Japanavt,Others,1.50
OTaoZh,Others,1.50
Pesa,USnistgov,1.50
Sandeepsr,Others,1.50
SudharshanSuresh,Others,1.50
SviatoslavNastasiak,Others,1.50
YanChii,Others,1.50
Zmegolaz,Others,1.50
abudaoweng,Others,1.50
adamx-xk,Others,1.50
ajuse,Others,1.50
appleCh,Others,1.50
aruljeniston,Others,1.50
ashwin-h,Others,1.50
aslam4g,Others,1.50
bigwboy,Others,1.50
brianlin-ec,Others,1.50
bsbsrkg,Others,1.50
coolkidBigEye,Others,1.50
dcantunes123,Others,1.50
feanis,Others,1.50
florath,Others,1.50
galdem6,Others,1.50
gavinht21,Others,1.50
guangjung,Others,1.50
iancote,Others,1.50
inspurTW,Others,1.50
jSML4ThWwBID69YC,Others,1.50
jboomer,Others,1.50
laiguoliang-lyr,Others,1.50
linyutsung,ufispace,1.50
madhukar-kamarapu,Broadcom,1.50
mohannai,Others,1.50
